classificacao,sentenca,sentenca_processada1,sentenca_processada2,sentenca_processada3_1,sentenca_processada3_2,sentenca_processada3_3,sentenca_processada3_4
1.0,Essa Luciana é a socialista que usa iMac do grande Steve Jobs?,Essa Luciana é a socialista que usa iMac do grande Steve Jobs?,Essa Luciana é a socialista que usa iMac do grande Steve Jobs,Essa Luciana e a socialista que usa iMac do grande Steve Jobs,Essa Luciana socialista usa iMac grande Steve Jobs,essa luciana socialista usa imac grande steve jobs,ess luci social usa imac grand stev job
1.0,Parabêns.,Parabêns.,Parabêns,Parabens,Parabens,parabens,parab
1.0,Agora vai!,Agora vai!,Agora vai,Agora vai,Agora vai,agora vai,agor vai
1.0,Belas referências.,Belas referências.,Belas referências,Belas referencias,Belas referencias,belas referencias,bel referenc
1.0,"E com essa medida, ela que tanto se ""preocupa"" com as finanças públicas, dá as costas ao ajuste fiscal e compra o apoio de que precisa no Congresso, para se livrar do impeachment.","E com essa medida, ela que tanto se ""preocupa"" com as finanças públicas, dá as costas ao ajuste fiscal e compra o apoio de que precisa no Congresso, para se livrar do impeachment.",E com essa medida ela que tanto se preocupa com as finanças públicas dá as costas ao ajuste fiscal e compra o apoio de que precisa no Congresso para se livrar do impeachment,E com essa medida ela que tanto se preocupa com as financas publicas da as costas ao ajuste fiscal e compra o apoio de que precisa no Congresso para se livrar do impeachment,E medida tanto preocupa financas publicas costas ajuste fiscal compra apoio precisa Congresso livrar impeachment,e medida tanto preocupa financas publicas costas ajuste fiscal compra apoio precisa congresso livrar impeachment,e med tant preocup financ publ cost ajust fiscal compr apoi precis congress livr impeachment
1.0,"Não bastam salários polpudos para os parlamentares, nem gabinetes luxuosos, nem hordas de funcionários pagos com dinheiro público.... Tem que jorrar dinheiro para ""bases"" dos srs. deputados e senadores.","Não bastam salários polpudos para os parlamentares, nem gabinetes luxuosos, nem hordas de funcionários pagos com dinheiro público.... Tem que jorrar dinheiro para ""bases"" dos srs. deputados e senadores.",Não bastam salários polpudos para os parlamentares nem gabinetes luxuosos nem hordas de funcionários pagos com dinheiro público Tem que jorrar dinheiro para bases dos srs deputados e senadores,Nao bastam salarios polpudos para os parlamentares nem gabinetes luxuosos nem hordas de funcionarios pagos com dinheiro publico Tem que jorrar dinheiro para bases dos srs deputados e senadores,Nao bastam salarios polpudos parlamentares gabinetes luxuosos hordas funcionarios pagos dinheiro publico Tem jorrar dinheiro bases srs deputados senadores,nao bastam salarios polpudos parlamentares gabinetes luxuosos hordas funcionarios pagos dinheiro publico tem jorrar dinheiro bases srs deputados senadores,nao bast salari polpud parlament gabinet lux hord funcionari pag dinh publ tem jorr dinh bas sr deput sen
1.0,"Viva a Corrupcao, o Pais de babacas onde vivemos.","Viva a Corrupcao, o Pais de babacas onde vivemos.",Viva a Corrupcao o Pais de babacas onde vivemos,Viva a Corrupcao o Pais de babacas onde vivemos,Viva Corrupcao Pais babacas onde vivemos,viva corrupcao pais babacas onde vivemos,viv corrupca pal babac ond viv
1.0,Nossa como ela é legal!,Nossa como ela é legal!,Nossa como ela é legal,Nossa como ela e legal,Nossa legal,nossa legal,noss legal
1.0,Nossos políticos aceitam de bom grado..aliás vivemos um momento extraordinário!,Nossos políticos aceitam de bom grado..aliás vivemos um momento extraordinário!,Nossos políticos aceitam de bom gradoaliás vivemos um momento extraordinário,Nossos politicos aceitam de bom gradoalias vivemos um momento extraordinario,Nossos politicos aceitam bom gradoalias vivemos momento extraordinario,nossos politicos aceitam bom gradoalias vivemos momento extraordinario,noss poli aceit bom gradoal viv moment extraordinari
1.0,De muito crescimento e desenvolvimento.,De muito crescimento e desenvolvimento.,De muito crescimento e desenvolvimento,De muito crescimento e desenvolvimento,De crescimento desenvolvimento,de crescimento desenvolvimento,de cresc desenvolv
1.0,"O país esta em excelente fase, assim, se justifica (será que se justificaria em algum momento?) esses valores absurdos...mas recorrer e quem?","O país esta em excelente fase, assim, se justifica (será que se justificaria em algum momento?) esses valores absurdos...mas recorrer e quem?",O país esta em excelente fase assim se justifica será que se justificaria em algum momento esses valores absurdosmas recorrer e quem,O pais esta em excelente fase assim se justifica sera que se justificaria em algum momento esses valores absurdosmas recorrer e quem,O pais excelente fase assim justifica justificaria algum momento valores absurdosmas recorrer,o pais excelente fase assim justifica justificaria algum momento valores absurdosmas recorrer,o pal excel fas assim justif justific algum moment val absurdosm recorr
1.0,Como é gostoso gastar dinheiro dos contribuintes !!!,Como é gostoso gastar dinheiro dos contribuintes !!!,Como é gostoso gastar dinheiro dos contribuintes ,Como e gostoso gastar dinheiro dos contribuintes ,Como gostoso gastar dinheiro contribuintes,como gostoso gastar dinheiro contribuintes,com gost gast dinh contribuint
1.0,Nota dez com louvor!,Nota dez com louvor!,Nota dez com louvor,Nota dez com louvor,Nota dez louvor,nota dez louvor,not dez louv
1.0,Sem chance a sua volta pelo belo (?) conjunto da obra.,Sem chance a sua volta pelo belo (?) conjunto da obra.,Sem chance a sua volta pelo belo  conjunto da obra,Sem chance a sua volta pelo belo  conjunto da obra,Sem chance volta belo conjunto obra,sem chance volta belo conjunto obra,sem chanc volt bel conjunt obr
1.0,"Está subestimando o nosso ""glorioso"" sindicalismo e a ignorancia conveniente do nosso povo.","Está subestimando o nosso ""glorioso"" sindicalismo e a ignorancia conveniente do nosso povo.",Está subestimando o nosso glorioso sindicalismo e a ignorancia conveniente do nosso povo,Esta subestimando o nosso glorioso sindicalismo e a ignorancia conveniente do nosso povo,Esta subestimando glorioso sindicalismo ignorancia conveniente povo,esta subestimando glorioso sindicalismo ignorancia conveniente povo,est subestim glori sindic ignoranc conveni pov
1.0,Este Homem Mais Honesto do Mundo não vai se candidatar.,Este Homem Mais Honesto do Mundo não vai se candidatar.,Este Homem Mais Honesto do Mundo não vai se candidatar,Este Homem Mais Honesto do Mundo nao vai se candidatar,Este Homem Mais Honesto Mundo vai candidatar,este homem mais honesto mundo vai candidatar,est hom mais honest mund vai candidat
1.0,dançou com as irregularidades e sofreu um declínio moral e ético!,dançou com as irregularidades e sofreu um declínio moral e ético!,dançou com as irregularidades e sofreu um declínio moral e ético,dancou com as irregularidades e sofreu um declinio moral e etico,dancou irregularidades sofreu declinio moral etico,dancou irregularidades sofreu declinio moral etico,danc irregular sofr declini moral etic
1.0,então a reforma politica é mais do que nécessaria regras e punições mais claras e severas para as regras do jogo politico !,então a reforma politica é mais do que nécessaria regras e punições mais claras e severas para as regras do jogo politico !,então a reforma politica é mais do que nécessaria regras e punições mais claras e severas para as regras do jogo politico ,entao a reforma politica e mais do que necessaria regras e punicoes mais claras e severas para as regras do jogo politico ,entao reforma politica necessaria regras punicoes claras severas regras jogo politico,entao reforma politica necessaria regras punicoes claras severas regras jogo politico,enta reform poli necess regr punico cl sev regr jog poli
1.0,"vereadores , deputados , senadores , prefeitos , governadores, presidente da republica são pessoas publicas","vereadores , deputados , senadores , prefeitos , governadores, presidente da republica são pessoas publicas",vereadores  deputados  senadores  prefeitos  governadores presidente da republica são pessoas publicas,vereadores  deputados  senadores  prefeitos  governadores presidente da republica sao pessoas publicas,vereadores deputados senadores prefeitos governadores presidente republica pessoas publicas,vereadores deputados senadores prefeitos governadores presidente republica pessoas publicas,vere deput sen prefeit govern presid republ pesso publ
1.0,"O resto é culpando a oposição, o resto do mundo, o et de varginha pela incompetência deste governo/partido .","O resto é culpando a oposição, o resto do mundo, o et de varginha pela incompetência deste governo/partido .",O resto é culpando a oposição o resto do mundo o et de varginha pela incompetência deste governopartido ,O resto e culpando a oposicao o resto do mundo o et de varginha pela incompetencia deste governopartido ,O resto culpando oposicao resto mundo et varginha incompetencia deste governopartido,o resto culpando oposicao resto mundo et varginha incompetencia deste governopartido,o rest culp oposica rest mund et varg incompetenc dest governopart
1.0,"Os que não foram flagrados na lambança, estão aí, posando de santinhos, mas a verdade é uma só : empresários NUNCA doam, eles emprestam na época eleitoral pra cobrar mais adiante.","Os que não foram flagrados na lambança, estão aí, posando de santinhos, mas a verdade é uma só : empresários NUNCA doam, eles emprestam na época eleitoral pra cobrar mais adiante.",Os que não foram flagrados na lambança estão aí posando de santinhos mas a verdade é uma só  empresários NUNCA doam eles emprestam na época eleitoral pra cobrar mais adiante,Os que nao foram flagrados na lambanca estao ai posando de santinhos mas a verdade e uma so  empresarios NUNCA doam eles emprestam na epoca eleitoral pra cobrar mais adiante,Os flagrados lambanca ai posando santinhos verdade empresarios NUNCA doam emprestam epoca eleitoral pra cobrar adiante,os flagrados lambanca ai posando santinhos verdade empresarios nunca doam emprestam epoca eleitoral pra cobrar adiante,os flagr lambanc ai pos sant verdad empresari nunc do emprest epoc eleitor pra cobr adiant
1.0,"Delcídio era um ""negociante"" Tuctucano, porém, os eleitores não receberam esta ""pequenina"" informação!","Delcídio era um ""negociante"" Tuctucano, porém, os eleitores não receberam esta ""pequenina"" informação!",Delcídio era um negociante Tuctucano porém os eleitores não receberam esta pequenina informação,Delcidio era um negociante Tuctucano porem os eleitores nao receberam esta pequenina informacao,Delcidio negociante Tuctucano porem eleitores receberam pequenina informacao,delcidio negociante tuctucano porem eleitores receberam pequenina informacao,delcidi negoci tuctuc por elei receb pequenin informaca
1.0,"Uma delação feita no primeiro dia de julho de 2015, contém acusação contra o Aecim, no entanto, só ""vazou"" agora em janeiro de 2016 !!!","Uma delação feita no primeiro dia de julho de 2015, contém acusação contra o Aecim, no entanto, só ""vazou"" agora em janeiro de 2016 !!!",Uma delação feita no primeiro dia de julho de 2015 contém acusação contra o Aecim no entanto só vazou agora em janeiro de 2016 ,Uma delacao feita no primeiro dia de julho de 2015 contem acusacao contra o Aecim no entanto so vazou agora em janeiro de 2016 ,Uma delacao feita primeiro dia julho 2015 contem acusacao contra Aecim entanto vazou agora janeiro 2016,uma delacao feita primeiro dia julho 2015 contem acusacao contra aecim entanto vazou agora janeiro 2016,uma delaca feit prim dia julh 2015 cont acusaca contr aecim entant vaz agor jan 2016
1.0,"Porém, chegou o momento amargo de dizer que o doce acabou e agora, que segurem as pontas daqueles viciados e desesperados por doce, que clamam por uma pitada que seja, daquilo que acabou.","Porém, chegou o momento amargo de dizer que o doce acabou e agora, que segurem as pontas daqueles viciados e desesperados por doce, que clamam por uma pitada que seja, daquilo que acabou.",Porém chegou o momento amargo de dizer que o doce acabou e agora que segurem as pontas daqueles viciados e desesperados por doce que clamam por uma pitada que seja daquilo que acabou,Porem chegou o momento amargo de dizer que o doce acabou e agora que segurem as pontas daqueles viciados e desesperados por doce que clamam por uma pitada que seja daquilo que acabou,Porem chegou momento amargo dizer doce acabou agora segurem pontas daqueles viciados desesperados doce clamam pitada daquilo acabou,porem chegou momento amargo dizer doce acabou agora segurem pontas daqueles viciados desesperados doce clamam pitada daquilo acabou,por cheg moment amarg diz doc acab agor segur pont daquel vici desesper doc clam pitad daquil acab
1.0,"Ja estão atras de um lider, problema é achar um limpinho.","Ja estão atras de um lider, problema é achar um limpinho.",Ja estão atras de um lider problema é achar um limpinho,Ja estao atras de um lider problema e achar um limpinho,Ja atras lider problema achar limpinho,ja atras lider problema achar limpinho,ja atr lid problem ach limp
