sentenca_original,sentenca_processada1,classificacao,sentenca_processada2,sentenca_processada3_1,sentenca_processada3_2,sentenca_processada3_3,sentenca_processada3_4
"Com a expertise de ambos na condução de seus negócios, teriam excelentes sugestões para contribuir com a volta do crescimento econômico.","Com a expertise de ambos na condução de seus negócios, teriam excelentes sugestões para contribuir com a volta do crescimento econômico.",1,Com a expertise de ambos na condução de seus negócios teriam excelentes sugestões para contribuir com a volta do crescimento econômico,Com a expertise de ambos na conducao de seus negocios teriam excelentes sugestoes para contribuir com a volta do crescimento economico,Com expertise ambos conducao negocios excelentes sugestoes contribuir volta crescimento economico,com expertise ambos conducao negocios excelentes sugestoes contribuir volta crescimento economico,com expertis ambos conduca negoci excel sugesto contribu volt cresc econom
Abrs. Manric,Abrs. Manric,1,Abrs Manric,Abrs Manric,Abrs Manric,abrs manric,abr manric
Só se for na papuda.,Só se for na papuda.,1,Só se for na papuda,So se for na papuda,So papuda,so papuda,so papud
Dilma já não é mais presidente?,Dilma já não é mais presidente?,1,Dilma já não é mais presidente,Dilma ja nao e mais presidente,Dilma presidente,dilma presidente,dilm presid
Cinco?,Cinco?,1,Cinco,Cinco,Cinco,cinco,cinc
Sugestão primeira: Investir mais na Carta Capital para o Mino elogiar ainda mais [esse governo]P7.,Sugestão primeira: Investir mais na Carta Capital para o Mino elogiar ainda mais esse governo.,1,Sugestão primeira Investir mais na Carta Capital para o Mino elogiar ainda mais esse governo,Sugestao primeira Investir mais na Carta Capital para o Mino elogiar ainda mais esse governo,Sugestao primeira Investir Carta Capital Mino elogiar ainda governo,sugestao primeira investir carta capital mino elogiar ainda governo,sugesta prim invest cart capit min elogi aind govern
"Reunião dos 3 patetas, um afundou o Brasil, no tempo dos militares, o outro afundou o Palmeiras, e o outro afundou o Brasil do Real $, faltou o Mantega, para servir a [cachacinha]P5, como garçom.","Reunião dos 3 patetas, um afundou o Brasil, no tempo dos militares, o outro afundou o Palmeiras, e o outro afundou o Brasil do Real $, faltou o Mantega, para servir a cachacinha, como garçom.",1,Reunião dos 3 patetas um afundou o Brasil no tempo dos militares o outro afundou o Palmeiras e o outro afundou o Brasil do Real  faltou o Mantega para servir a cachacinha como garçom,Reuniao dos 3 patetas um afundou o Brasil no tempo dos militares o outro afundou o Palmeiras e o outro afundou o Brasil do Real  faltou o Mantega para servir a cachacinha como garcom,Reuniao 3 patetas afundou Brasil tempo militares outro afundou Palmeiras outro afundou Brasil Real faltou Mantega servir cachacinha garcom,reuniao 3 patetas afundou brasil tempo militares outro afundou palmeiras outro afundou brasil real faltou mantega servir cachacinha garcom,reunia 3 patet afund brasil temp milit outr afund palm outr afund brasil real falt manteg serv cachac garcom
Pobre [Banania]P3.,Pobre Banania.,1,Pobre Banania,Pobre Banania,Pobre Banania,pobre banania,pobr banan
"Beluzzo, Mino Carta, Frankin Martins, só faltou Paulo Henrique Amorim, marcola, fernadinho beira mar...meu Deus é o caos.","Beluzzo, Mino Carta, Frankin Martins, só faltou Paulo Henrique Amorim, marcola, fernadinho beira mar...meu Deus é o caos.",1,Beluzzo Mino Carta Frankin Martins só faltou Paulo Henrique Amorim marcola fernadinho beira marmeu Deus é o caos,Beluzzo Mino Carta Frankin Martins so faltou Paulo Henrique Amorim marcola fernadinho beira marmeu Deus e o caos,Beluzzo Mino Carta Frankin Martins faltou Paulo Henrique Amorim marcola fernadinho beira marmeu Deus caos,beluzzo mino carta frankin martins faltou paulo henrique amorim marcola fernadinho beira marmeu deus caos,beluzz min cart frankin martim falt paul henriqu amorim marcol fern beir marm deu cao
Parque dos Dinossauros 6...,Parque dos Dinossauros 6...,1,Parque dos Dinossauros 6,Parque dos Dinossauros 6,Parque Dinossauros 6,parque dinossauros 6,parqu dinossaur 6
Agora vai!,Agora vai!,1,Agora vai,Agora vai,Agora vai,agora vai,agor vai
Há esqueci a fortuna de seu filho e os desvios do BNDS,Há esqueci a fortuna de seu filho e os desvios do BNDS,1,Há esqueci a fortuna de seu filho e os desvios do BNDS,Ha esqueci a fortuna de seu filho e os desvios do BNDS,Ha esqueci fortuna filho desvios BNDS,ha esqueci fortuna filho desvios bnds,ha esquec fortun filh desvi bnd
"É só devolver o dinheiro desviado das estatais ,fundos de pensões e das licitações super faturadas é só avisar o  ex","É só devolver o dinheiro desviado das estatais ,fundos de pensões e das licitações super faturadas é só avisar o  ex",1,É só devolver o dinheiro desviado das estatais fundos de pensões e das licitações super faturadas é só avisar o  ex,E so devolver o dinheiro desviado das estatais fundos de pensoes e das licitacoes super faturadas e so avisar o  ex,E devolver dinheiro desviado estatais fundos pensoes licitacoes super faturadas avisar ex,e devolver dinheiro desviado estatais fundos pensoes licitacoes super faturadas avisar ex,e devolv dinh desvi estatal fund penso licitaco sup fatur avis ex
"Esqueceram de convidar o mais importante e ilustre do [clubinho]P5, o Mantega.","Esqueceram de convidar o mais importante e ilustre do clubinho, o Mantega.",1,Esqueceram de convidar o mais importante e ilustre do clubinho o Mantega,Esqueceram de convidar o mais importante e ilustre do clubinho o Mantega,Esqueceram convidar importante ilustre clubinho Mantega,esqueceram convidar importante ilustre clubinho mantega,esquec convid import ilustr club manteg
Seus mal agradecidos!,Seus mal agradecidos!,1,Seus mal agradecidos,Seus mal agradecidos,Seus mal agradecidos,seus mal agradecidos,seu mal agradec
O deputado  Eduardoh Cunhah  seguramente já percebeu que não está agradando.,O deputado  Eduardoh Cunhah  seguramente já percebeu que não está agradando.,1,O deputado  Eduardoh Cunhah  seguramente já percebeu que não está agradando,O deputado  Eduardoh Cunhah  seguramente ja percebeu que nao esta agradando,O deputado Eduardoh Cunhah seguramente percebeu agradando,o deputado eduardoh cunhah seguramente percebeu agradando,o deput eduardoh cunhah segur perceb agrad
"Ainda penso que daria um bom embaixador do Brasil em... a) Israel b) Afganistão c) Otawa d) Pyongyang e) Vaticano (segura essa, Franciscoh!)","Ainda penso que daria um bom embaixador do Brasil em... a) Israel b) Afganistão c) Otawa d) Pyongyang e) Vaticano (segura essa, Franciscoh!)",1,Ainda penso que daria um bom embaixador do Brasil em a Israel b Afganistão c Otawa d Pyongyang e Vaticano segura essa Franciscoh,Ainda penso que daria um bom embaixador do Brasil em a Israel b Afganistao c Otawa d Pyongyang e Vaticano segura essa Franciscoh,Ainda penso daria bom embaixador Brasil Israel b Afganistao c Otawa d Pyongyang Vaticano segura Franciscoh,ainda penso daria bom embaixador brasil israel b afganistao c otawa d pyongyang vaticano segura franciscoh,aind pens dar bom embaix brasil israel b afganista c otaw d pyongyang vatic segur franciscoh
Eduardo Cunha é o Cara!!?,Eduardo Cunha é o Cara!!?,1,Eduardo Cunha é o Cara,Eduardo Cunha e o Cara,Eduardo Cunha Cara,eduardo cunha cara,eduard cunh car
Somos um pais de [coitadinhos]P5.,Somos um pais de coitadinhos.,1,Somos um pais de coitadinhos,Somos um pais de coitadinhos,Somos pais coitadinhos,somos pais coitadinhos,som pal coit
"É capaz de chegar para a própria mulher dele, também envolvida nas falcatruas, pela PGR, antes de dormir, e dizer: [""quanta injúria , perseguição, não é meu amor?""]P1","É capaz de chegar para a própria mulher dele, também envolvida nas falcatruas, pela PGR, antes de dormir, e dizer: [""quanta injúria , perseguição, não é meu amor?""]P1",1,É capaz de chegar para a própria mulher dele também envolvida nas falcatruas pela PGR antes de dormir e dizer quanta injúria  perseguição não é meu amorP1,E capaz de chegar para a propria mulher dele tambem envolvida nas falcatruas pela PGR antes de dormir e dizer quanta injuria  perseguicao nao e meu amorP1,E capaz chegar propria mulher envolvida falcatruas PGR antes dormir dizer quanta injuria perseguicao amorP1,e capaz chegar propria mulher envolvida falcatruas pgr antes dormir dizer quanta injuria perseguicao amorp1,e capaz cheg propr mulh envolv falcatru pgr ant dorm diz quant injur perseguica amorp1
"Governo, Procuradoria, Homens e Mulheres de Bem, crianças, padres, militares,estudantes, trabalhadores, e o resto deve te apoiar!!!","Governo, Procuradoria, Homens e Mulheres de Bem, crianças, padres, militares,estudantes, trabalhadores, e o resto deve te apoiar!!!",1,Governo Procuradoria Homens e Mulheres de Bem crianças padres militaresestudantes trabalhadores e o resto deve te apoiar,Governo Procuradoria Homens e Mulheres de Bem criancas padres militaresestudantes trabalhadores e o resto deve te apoiar,Governo Procuradoria Homens Mulheres Bem criancas padres militaresestudantes trabalhadores resto deve apoiar,governo procuradoria homens mulheres bem criancas padres militaresestudantes trabalhadores resto deve apoiar,govern procurad hom mulh bem crianc padr militaresestud trabalh rest dev apoi
Jura que  ele  eh inocente?,Jura que  ele  eh inocente?,1,Jura que  ele  eh inocente,Jura que  ele  eh inocente,Jura eh inocente,jura eh inocente,jur eh inoc
Ou  coitado  é um santo injustiçado.,Ou  coitado  é um santo injustiçado.,1,Ou  coitado  é um santo injustiçado,Ou  coitado  e um santo injusticado,Ou coitado santo injusticado,ou coitado santo injusticado,ou coit sant injustic
apareceu um Cunhado,apareceu um Cunhado,1,apareceu um Cunhado,apareceu um Cunhado,apareceu Cunhado,apareceu cunhado,aparec cunh
Este homem é um santo.,Este homem é um santo.,1,Este homem é um santo,Este homem e um santo,Este homem santo,este homem santo,est hom sant
"Não demora, e surge no país um movimento para pedir sua canonização.","Não demora, e surge no país um movimento para pedir sua canonização.",1,Não demora e surge no país um movimento para pedir sua canonização,Nao demora e surge no pais um movimento para pedir sua canonizacao,Nao demora surge pais movimento pedir canonizacao,nao demora surge pais movimento pedir canonizacao,nao dem surg pal mov ped canonizaca
"Novamente o célebre slogan em funcionamento [""Toma lá , dá cá""]P1.","Novamente o célebre slogan em funcionamento [""Toma lá , dá cá""]P1.",1,Novamente o célebre slogan em funcionamento Toma lá  dá cáP1,Novamente o celebre slogan em funcionamento Toma la  da caP1,Novamente celebre slogan funcionamento Toma la caP1,novamente celebre slogan funcionamento toma la cap1,nov celebr slogan funcion tom la cap1
"Eles são o que, deuses?","Eles são o que, deuses?",1,Eles são o que deuses,Eles sao o que deuses,Eles deuses,eles deuses,ele deus
"Esta dinheirama aprovada pelo desgoverno para os partidos é porque as torneiras da Petrobras estão fechadas (pelo menos teoricamente), antes da Polícia Federal mandar fechar as torneiras o dinheiro vazava pelo hladrão e ninguém viu nada, ninguém sabia de nada, quanta coincidência, foi só fechar as torneiras que aumentaram o fundo partidário, quanta [""coincidência""]P1, sei... sei..","Esta dinheirama aprovada pelo desgoverno para os partidos é porque as torneiras da Petrobras estão fechadas (pelo menos teoricamente), antes da Polícia Federal mandar fechar as torneiras o dinheiro vazava pelo hladrão e ninguém viu nada, ninguém sabia de nada, quanta coincidência, foi só fechar as torneiras que aumentaram o fundo partidário, quanta [""coincidência""]P1, sei... sei..",1,Esta dinheirama aprovada pelo desgoverno para os partidos é porque as torneiras da Petrobras estão fechadas pelo menos teoricamente antes da Polícia Federal mandar fechar as torneiras o dinheiro vazava pelo hladrão e ninguém viu nada ninguém sabia de nada quanta coincidência foi só fechar as torneiras que aumentaram o fundo partidário quanta coincidênciaP1 sei sei,Esta dinheirama aprovada pelo desgoverno para os partidos e porque as torneiras da Petrobras estao fechadas pelo menos teoricamente antes da Policia Federal mandar fechar as torneiras o dinheiro vazava pelo hladrao e ninguem viu nada ninguem sabia de nada quanta coincidencia foi so fechar as torneiras que aumentaram o fundo partidario quanta coincidenciaP1 sei sei,Esta dinheirama aprovada desgoverno partidos porque torneiras Petrobras fechadas menos teoricamente antes Policia Federal mandar fechar torneiras dinheiro vazava hladrao ninguem viu nada ninguem sabia nada quanta coincidencia fechar torneiras aumentaram fundo partidario quanta coincidenciaP1 sei sei,esta dinheirama aprovada desgoverno partidos porque torneiras petrobras fechadas menos teoricamente antes policia federal mandar fechar torneiras dinheiro vazava hladrao ninguem viu nada ninguem sabia nada quanta coincidencia fechar torneiras aumentaram fundo partidario quanta coincidenciap1 sei sei,est dinheiram aprov desgovern part porqu torn petrobr fech menos teoric ant polic feder mand fech torn dinh vaz hladra ning viu nad ning sab nad quant coincidenc fech torn aument fund partidari quant coincidenciap1 sei sei
"Já que o mensalão <expr>foi pras cucuias</expr>, a [petroroubalheira]P3 tá dando cadeia, a solução para comprar as [""consciências""]P1 no congresso vai sair mesmo do orçamento da União....","Já que o mensalão <expr>foi pras cucuias</expr>, a petroroubalheira tá dando cadeia, a solução para comprar as [""consciências""]P1 no congresso vai sair mesmo do orçamento da União....",1,Já que o mensalão exprfoi pras cucuiasexpr a petroroubalheira tá dando cadeia a solução para comprar as consciênciasP1 no congresso vai sair mesmo do orçamento da União,Ja que o mensalao exprfoi pras cucuiasexpr a petroroubalheira ta dando cadeia a solucao para comprar as conscienciasP1 no congresso vai sair mesmo do orcamento da Uniao,Ja mensalao exprfoi pras cucuiasexpr petroroubalheira ta dando cadeia solucao comprar conscienciasP1 congresso vai sair orcamento Uniao,ja mensalao exprfoi pras cucuiasexpr petroroubalheira ta dando cadeia solucao comprar conscienciasp1 congresso vai sair orcamento uniao,ja mensala exprfo pra cucuiasexpr petroroubalh ta dand cade soluca compr conscienciasp1 congress vai sair orc unia
"Não bastam salários polpudos para os parlamentares, nem gabinetes luxuosos, nem hordas de funcionários pagos com dinheiro público.... Tem que jorrar dinheiro para [""bases""]P1 dos srs. deputados e senadores.","Não bastam salários polpudos para os parlamentares, nem gabinetes luxuosos, nem hordas de funcionários pagos com dinheiro público.... Tem que jorrar dinheiro para [""bases""]P1 dos srs. deputados e senadores.",1,Não bastam salários polpudos para os parlamentares nem gabinetes luxuosos nem hordas de funcionários pagos com dinheiro público Tem que jorrar dinheiro para basesP1 dos srs deputados e senadores,Nao bastam salarios polpudos para os parlamentares nem gabinetes luxuosos nem hordas de funcionarios pagos com dinheiro publico Tem que jorrar dinheiro para basesP1 dos srs deputados e senadores,Nao bastam salarios polpudos parlamentares gabinetes luxuosos hordas funcionarios pagos dinheiro publico Tem jorrar dinheiro basesP1 srs deputados senadores,nao bastam salarios polpudos parlamentares gabinetes luxuosos hordas funcionarios pagos dinheiro publico tem jorrar dinheiro basesp1 srs deputados senadores,nao bast salari polpud parlament gabinet lux hord funcionari pag dinh publ tem jorr dinh basesp1 sr deput sen
